# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
80,Extraction,UMAP,0.5751538461538461,0.55,0.5682696569727247,0.55,0.49997962582802186
80,Selection,ANOVA F-value,0.7737846153846152,0.7015686274509803,0.7067247312531552,0.7015686274509803,0.6990611976332854
80,Selection,Chi-Squared,0.7787538461538464,0.7049019607843138,0.7096926459202328,0.7049019607843138,0.7027376589710908
80,Selection,Mutual Information,0.7380923076923078,0.6801960784313725,0.6875599815866866,0.6801960784313725,0.6763681119363608
90,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
90,Extraction,PCA,0.767076923076923,0.689607843137255,0.6953115317326379,0.689607843137255,0.6867496052706886
90,Extraction,UMAP,0.5810307692307692,0.5541176470588235,0.5805235403503987,0.5541176470588235,0.5008191018731398
90,Selection,ANOVA F-value,0.7730769230769231,0.6986274509803921,0.7038243601712232,0.6986274509803921,0.6960878470838433
90,Selection,Chi-Squared,0.7756615384615385,0.702156862745098,0.7068703302228618,0.702156862745098,0.7000283416555034
90,Selection,Mutual Information,0.7392153846153846,0.6819607843137254,0.6891249803970513,0.6819607843137254,0.6783336899471452
100,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
100,Extraction,PCA,0.7623846153846155,0.6862745098039216,0.6916963459879567,0.6862745098039216,0.6833527325257733
100,Extraction,UMAP,0.5689230769230769,0.5445098039215686,0.5644703497642269,0.5445098039215686,0.49205058167797333
100,Selection,ANOVA F-value,0.7730615384615385,0.6986274509803923,0.7040633310515046,0.6986274509803923,0.6961934628256867
100,Selection,Chi-Squared,0.7723999999999998,0.7023529411764707,0.7070392317666752,0.7023529411764707,0.7001919721706885
100,Selection,Mutual Information,0.7418461538461538,0.6841176470588235,0.6913215250001761,0.6841176470588235,0.6803599484561615
110,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
110,Extraction,PCA,0.7606615384615387,0.6866666666666668,0.6925229388196555,0.6866666666666668,0.6835871971288726
110,Extraction,UMAP,0.5817692307692308,0.5470588235294117,0.5715692606640423,0.5470588235294117,0.4965680287406989
110,Selection,ANOVA F-value,0.7722461538461539,0.699607843137255,0.704525366416408,0.699607843137255,0.6973272473949677
110,Selection,Chi-Squared,0.7675846153846154,0.6980392156862745,0.702836166167697,0.6980392156862745,0.6959320407030433
110,Selection,Mutual Information,0.7403692307692308,0.6807843137254902,0.6876654097994304,0.6807843137254902,0.6771256889967557
120,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
120,Extraction,PCA,0.7584615384615384,0.6821568627450982,0.6878787096339204,0.6821568627450982,0.6790180707747412
120,Extraction,UMAP,0.5717538461538462,0.5468627450980391,0.5742907367411986,0.5468627450980391,0.4927306885067525
120,Selection,ANOVA F-value,0.7709846153846156,0.6950980392156864,0.7001650097079154,0.6950980392156864,0.6927171118718897
120,Selection,Chi-Squared,0.7627076923076924,0.6972549019607842,0.7024965656594407,0.6972549019607842,0.6949609290740436
120,Selection,Mutual Information,0.7399538461538464,0.677843137254902,0.6840785578705143,0.677843137254902,0.6744589224760813
130,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
130,Extraction,PCA,0.7609846153846155,0.6915686274509802,0.6966205095713244,0.6915686274509802,0.688813757548942
130,Extraction,UMAP,0.5686000000000001,0.544705882352941,0.5705573390045836,0.544705882352941,0.49051301428286137
130,Selection,ANOVA F-value,0.7708000000000003,0.6966666666666668,0.701754508645444,0.6966666666666668,0.6943006159586673
130,Selection,Chi-Squared,0.7622461538461538,0.6927450980392156,0.6976388018157068,0.6927450980392156,0.6905544983482664
130,Selection,Mutual Information,0.7398,0.6794117647058823,0.6853255183640806,0.6794117647058823,0.6762371439055169
140,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
140,Extraction,PCA,0.7646153846153845,0.6947058823529413,0.7005189637867999,0.6947058823529413,0.6919176031644586
140,Extraction,UMAP,0.5744307692307692,0.5515686274509803,0.5709832446945015,0.5515686274509803,0.5044906226473792
140,Selection,ANOVA F-value,0.7706615384615386,0.6976470588235294,0.7029784006868534,0.6976470588235294,0.6951843465023251
140,Selection,Chi-Squared,0.7613692307692308,0.6911764705882352,0.6960954566957236,0.6911764705882352,0.6889287111765476
140,Selection,Mutual Information,0.7400000000000001,0.6756862745098039,0.6817696868661851,0.6756862745098039,0.6723262601761663
150,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
150,Extraction,PCA,0.7661692307692308,0.7009803921568627,0.7074094919112798,0.7009803921568627,0.6979461708189793
150,Extraction,UMAP,0.5674615384615386,0.5472549019607843,0.573568984089693,0.5472549019607843,0.49526329836622013
150,Selection,ANOVA F-value,0.7710000000000001,0.6968627450980392,0.7020311506493577,0.6968627450980392,0.6944166226651087
150,Selection,Chi-Squared,0.7579076923076922,0.6898039215686275,0.6940993503632603,0.6898039215686275,0.687726051319194
150,Selection,Mutual Information,0.7412923076923079,0.6766666666666667,0.6821735774435023,0.6766666666666667,0.673436515580387
160,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
160,Extraction,PCA,0.7685076923076921,0.6988235294117646,0.705251586185841,0.6988235294117646,0.6956668335244642
160,Extraction,UMAP,0.5744,0.5466666666666666,0.5693655347258335,0.5466666666666666,0.4933422722486987
160,Selection,ANOVA F-value,0.7694461538461539,0.6964705882352942,0.701622943080461,0.6964705882352942,0.6940592625281237
160,Selection,Chi-Squared,0.7560923076923077,0.6899999999999998,0.6954821110744895,0.6899999999999998,0.687597974851601
160,Selection,Mutual Information,0.7408923076923078,0.6794117647058823,0.6848761199378557,0.6794117647058823,0.676136635539517
170,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
170,Extraction,PCA,0.771169230769231,0.7043137254901959,0.7107810792861868,0.7043137254901959,0.7013398379333475
170,Extraction,UMAP,0.5703846153846154,0.5405882352941176,0.5548171339352603,0.5405882352941176,0.4880746453900301
170,Selection,ANOVA F-value,0.769353846153846,0.6952941176470587,0.7006063751753238,0.6952941176470587,0.6928514752091118
170,Selection,Chi-Squared,0.7541692307692307,0.6903921568627454,0.6955991501979181,0.6903921568627454,0.6880290673517087
170,Selection,Mutual Information,0.7426,0.682156862745098,0.6880970903369763,0.682156862745098,0.678954178668749
180,Extraction,Kernel PCA,0.6006461538461538,0.5082352941176471,0.4553155885652378,0.5082352941176471,0.37706453401709056
180,Extraction,PCA,0.7722461538461538,0.7054901960784312,0.7119931138871864,0.7054901960784312,0.7024588076099217
