# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
80,Selection,Chi-Squared,0.7309000000000002,0.6656862745098039,0.6690994859796059,0.6656862745098039,0.6638727191783849
80,Selection,Mutual Information,0.7431461538461538,0.6750980392156862,0.6785641893679498,0.6750980392156862,0.6728583043090084
90,Extraction,Kernel PCA,0.6295692307692309,0.5856862745098038,0.5905873792979485,0.5856862745098038,0.5774581996885713
90,Extraction,PCA,0.638,0.6058823529411764,0.6100577888394304,0.6058823529411764,0.6010092147997892
90,Extraction,UMAP,0.5568923076923078,0.5441176470588235,0.551063955654643,0.5441176470588235,0.5234546252274125
90,Selection,ANOVA F-value,0.7721846153846154,0.7003921568627451,0.7060436934998378,0.7003921568627451,0.6977829120041527
90,Selection,Chi-Squared,0.7347384615384616,0.6647058823529411,0.6678805181735651,0.6647058823529411,0.6628027210287777
90,Selection,Mutual Information,0.735646153846154,0.6719607843137255,0.6757527358859861,0.6719607843137255,0.6696906953021834
100,Extraction,Kernel PCA,0.6316307692307693,0.5876470588235293,0.593142120798011,0.5876470588235293,0.5795374933210847
100,Extraction,PCA,0.6362923076923077,0.5980392156862745,0.6016409023250258,0.5980392156862745,0.5931665315324883
100,Extraction,UMAP,0.5647846153846153,0.5449019607843137,0.5514066044148649,0.5449019607843137,0.5236555518121279
100,Selection,ANOVA F-value,0.7715692307692308,0.7039215686274508,0.7101814384489957,0.7039215686274508,0.7013119208264373
100,Selection,Chi-Squared,0.7342153846153847,0.6739215686274508,0.6769869552805031,0.6739215686274508,0.672309276521319
100,Selection,Mutual Information,0.7433538461538461,0.6801960784313726,0.6855600177271325,0.6801960784313726,0.6776027355621149
110,Extraction,Kernel PCA,0.6318,0.5850980392156863,0.5895934035381005,0.5850980392156863,0.5767651374808808
110,Extraction,PCA,0.6388461538461538,0.5976470588235294,0.6012087250971268,0.5976470588235294,0.5921261378500212
110,Extraction,UMAP,0.5519692307692307,0.5264705882352941,0.5261098693107096,0.5264705882352941,0.5059695001746501
110,Selection,ANOVA F-value,0.7731384615384616,0.7082352941176471,0.7142067181610403,0.7082352941176471,0.705638487279919
110,Selection,Chi-Squared,0.7343461538461539,0.6721568627450979,0.6752835237465521,0.6721568627450979,0.6703691772944
110,Selection,Mutual Information,0.7429307692307695,0.6760784313725492,0.681188320109486,0.6760784313725492,0.6732256872891165
120,Extraction,Kernel PCA,0.6312153846153847,0.5852941176470589,0.5898557280700538,0.5852941176470589,0.576766655884123
120,Extraction,PCA,0.6385769230769232,0.6007843137254902,0.6048818424999639,0.6007843137254902,0.5946913367548732
120,Extraction,UMAP,0.5534307692307693,0.5413725490196079,0.5456571540673081,0.5413725490196079,0.5216939767766235
120,Selection,ANOVA F-value,0.7729692307692307,0.705686274509804,0.7115253485077823,0.705686274509804,0.7031027129776618
120,Selection,Chi-Squared,0.735453846153846,0.67,0.6731864092184888,0.67,0.6683151337245424
120,Selection,Mutual Information,0.7490769230769232,0.6762745098039216,0.6801391453240542,0.6762745098039216,0.674096318161802
130,Extraction,Kernel PCA,0.6290076923076923,0.591764705882353,0.595978458911333,0.591764705882353,0.5837286947886734
130,Extraction,PCA,0.6478615384615385,0.6037254901960784,0.607805725083011,0.6037254901960784,0.5982875447471634
130,Extraction,UMAP,0.5533384615384616,0.5484313725490195,0.5558082237857601,0.5484313725490195,0.5291157209205208
130,Selection,ANOVA F-value,0.7753692307692307,0.7070588235294119,0.7131666174330816,0.7070588235294119,0.704214898623308
130,Selection,Chi-Squared,0.7365307692307694,0.667843137254902,0.6708298657118904,0.667843137254902,0.6663166744950426
130,Selection,Mutual Information,0.7475999999999999,0.688235294117647,0.6932227442577897,0.688235294117647,0.6856741403714871
