# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
120,Selection,ANOVA F-value,0.7344890788224122,0.6969411764705882,0.7005023875142554,0.6969411764705882,0.6948724316368878
120,Selection,Chi-Squared,0.7494947768281102,0.7088627450980391,0.7111418690999253,0.7088627450980391,0.7073681766784023
120,Selection,Mutual Information,0.7273580246913579,0.6852549019607842,0.6857326870333896,0.6852549019607842,0.6845948387622387
130,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
130,Extraction,PCA,0.7765128205128204,0.7090196078431372,0.7204447533534755,0.7090196078431372,0.7038649175883218
130,Extraction,UMAP,0.541428774928775,0.5593725490196079,0.5930694038147409,0.5593725490196079,0.5147529456833159
130,Selection,ANOVA F-value,0.7336035137701804,0.7128627450980393,0.7157110338973967,0.7128627450980393,0.7112286607840471
130,Selection,Chi-Squared,0.7454207027540362,0.7088627450980391,0.7115719027437477,0.7088627450980391,0.7067546706829251
130,Selection,Mutual Information,0.7340650522317189,0.6932549019607842,0.69416106361272,0.6932549019607842,0.6923730718872684
140,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
140,Extraction,PCA,0.7700389363722697,0.6972549019607843,0.7090575126375253,0.6972549019607843,0.6906083156360066
140,Extraction,UMAP,0.5349548907882242,0.5669803921568628,0.5856686407274643,0.5669803921568628,0.5346445307973244
140,Selection,ANOVA F-value,0.7342108262108261,0.7128627450980393,0.7157110338973967,0.7128627450980393,0.7112286607840471
140,Selection,Chi-Squared,0.7485527065527066,0.7088627450980391,0.7110756255038879,0.7088627450980391,0.7073461158092572
140,Selection,Mutual Information,0.727173314339981,0.6970980392156862,0.6989438616407314,0.6970980392156862,0.6960717959162203
150,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
150,Extraction,PCA,0.7771519468186137,0.7246274509803922,0.7341174014998997,0.7246274509803922,0.7207896597047285
150,Extraction,UMAP,0.5373200379867047,0.5513725490196079,0.5643331460136652,0.5513725490196079,0.5086819924451141
150,Selection,ANOVA F-value,0.7265223171889839,0.6932549019607842,0.6956554510269232,0.6932549019607842,0.691721793286608
150,Selection,Chi-Squared,0.7460740740740741,0.7049411764705882,0.7080500196569857,0.7049411764705882,0.7024482310032859
150,Selection,Mutual Information,0.725758309591643,0.6892549019607843,0.6914167843454503,0.6892549019607843,0.6879251632087504
160,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
160,Extraction,PCA,0.7779881291547958,0.7206274509803923,0.7346057473247161,0.7206274509803923,0.7155475397307421
160,Extraction,UMAP,0.5825479582146249,0.547372549019608,0.5679617472718043,0.547372549019608,0.5107817975988513
160,Selection,ANOVA F-value,0.7295992402659068,0.6932549019607842,0.6956554510269232,0.6932549019607842,0.691721793286608
160,Selection,Chi-Squared,0.7398765432098765,0.7049411764705882,0.7072961279176883,0.7049411764705882,0.7030536916387199
160,Selection,Mutual Information,0.7278646723646724,0.7010196078431372,0.7034263812927254,0.7010196078431372,0.6995236535132603
170,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
170,Extraction,PCA,0.7807996201329535,0.7247058823529411,0.7378030106923632,0.7247058823529411,0.7202124734753299
170,Extraction,UMAP,0.5467374169040835,0.5434509803921569,0.5483806661929445,0.5434509803921569,0.5051962949739948
170,Selection,ANOVA F-value,0.7314710351377018,0.6853333333333333,0.6867383278281445,0.6853333333333333,0.6840687798456025
170,Selection,Chi-Squared,0.7453950617283951,0.6970980392156862,0.6993392125534358,0.6970980392156862,0.6952669477303337
170,Selection,Mutual Information,0.7188912630579297,0.6536470588235294,0.6548869652044308,0.6536470588235294,0.6525133024769971
180,Extraction,Kernel PCA,0.6093798670465338,0.504,0.43262275827978247,0.504,0.37725665982304124
180,Extraction,PCA,0.7765056980056979,0.7168627450980392,0.7288496759075007,0.7168627450980392,0.7126788026313778
180,Extraction,UMAP,0.534974358974359,0.519686274509804,0.5328304354863862,0.519686274509804,0.4816573088451177
180,Selection,ANOVA F-value,0.7305094966761633,0.6892549019607843,0.6896596097022648,0.6892549019607843,0.688268888115054
180,Selection,Chi-Squared,0.7433613485280153,0.7090980392156863,0.7112092664465017,0.7090980392156863,0.7076011539743438
