# Features,Type,Method,AUC,Accuracy,Precision,Recall,F1
30,Selection,Mutual Information,0.7134017094017094,0.6933333333333334,0.6977196566660657,0.6933333333333334,0.6920633656713762
40,Extraction,Kernel PCA,0.582684710351377,0.5909019607843138,0.5930044284061312,0.5909019607843138,0.5864959442577116
40,Extraction,PCA,0.6186030389363724,0.5790588235294118,0.5792648595236726,0.5790588235294118,0.5737924404231839
40,Extraction,UMAP,0.5358295346628681,0.500156862745098,0.4852422805555855,0.500156862745098,0.4280876643034982
40,Selection,ANOVA F-value,0.7216737891737892,0.6458823529411765,0.650034861324359,0.6458823529411765,0.6429113745702228
40,Selection,Chi-Squared,0.7025527065527066,0.6498039215686274,0.6507305942988102,0.6498039215686274,0.6493021814640481
40,Selection,Mutual Information,0.7535375118708453,0.6972549019607843,0.6995900029629532,0.6972549019607843,0.6943918236798254
50,Extraction,Kernel PCA,0.5761885090218424,0.539921568627451,0.538995929968457,0.539921568627451,0.5338917605684437
50,Extraction,PCA,0.601017094017094,0.5710588235294118,0.5720954592340075,0.5710588235294118,0.5660062937103492
50,Extraction,UMAP,0.5183133903133903,0.5118431372549019,0.5065678643542998,0.5118431372549019,0.44502961757502524
50,Selection,ANOVA F-value,0.7455009496676164,0.6655686274509804,0.6694915216188697,0.6655686274509804,0.6632505405968224
50,Selection,Chi-Squared,0.7204786324786324,0.6537254901960784,0.65569993802887,0.6537254901960784,0.6533139796799223
50,Selection,Mutual Information,0.7349586894586895,0.6691764705882354,0.6738122690671711,0.6691764705882354,0.6667394253198299
60,Extraction,Kernel PCA,0.5669050332383666,0.5472156862745099,0.5463225150815296,0.5472156862745099,0.5431776150073556
60,Extraction,PCA,0.595863722697056,0.5596078431372549,0.5602774306734579,0.5596078431372549,0.5546063656990466
60,Extraction,UMAP,0.4939544159544159,0.4767843137254902,0.46711917463101854,0.4767843137254902,0.4171219693032514
60,Selection,ANOVA F-value,0.7586234567901234,0.7130196078431372,0.7147854924963115,0.7130196078431372,0.7108580755342151
60,Selection,Chi-Squared,0.7204311490978158,0.6574901960784314,0.6602075914893624,0.6574901960784314,0.6568398803266939
60,Selection,Mutual Information,0.7345883190883191,0.7088627450980391,0.7115589813671948,0.7088627450980391,0.7070305938311294
70,Extraction,Kernel PCA,0.5529933523266857,0.5828235294117647,0.5821872639870164,0.5828235294117647,0.5739282086833521
70,Extraction,PCA,0.5848091168091167,0.5745882352941176,0.5734392911646069,0.5745882352941176,0.5701782610460334
70,Extraction,UMAP,0.5293285849952516,0.5396078431372551,0.5295123537787207,0.5396078431372551,0.47070608833114935
70,Selection,ANOVA F-value,0.7656158594491929,0.6851764705882353,0.6859938836144557,0.6851764705882353,0.6828518310217072
70,Selection,Chi-Squared,0.719062678062678,0.6377254901960784,0.6382640597840091,0.6377254901960784,0.6367354314839484
70,Selection,Mutual Information,0.7355622032288698,0.6851764705882353,0.6886765449893719,0.6851764705882353,0.6809632163777259
80,Extraction,Kernel PCA,0.5516851851851852,0.5552156862745099,0.5557612247674653,0.5552156862745099,0.5465609749268487
80,Extraction,PCA,0.5935921177587844,0.5752156862745098,0.5732640776616436,0.5752156862745098,0.5691416464713513
80,Extraction,UMAP,0.5438452041785374,0.523686274509804,0.511533831310302,0.523686274509804,0.4667966804838148
80,Selection,ANOVA F-value,0.7581073124406459,0.7286274509803923,0.7339177960746588,0.7286274509803923,0.7250575015587803
80,Selection,Chi-Squared,0.7281396011396012,0.6612549019607843,0.6614418152166666,0.6612549019607843,0.660379480685632
80,Selection,Mutual Information,0.7076804368471035,0.6342745098039216,0.6409927419261906,0.6342745098039216,0.6288549934814486
90,Extraction,Kernel PCA,0.5609667616334284,0.5395294117647059,0.5391963707077292,0.5395294117647059,0.5279726724927865
90,Extraction,PCA,0.5996894586894588,0.5710588235294118,0.5738691856828348,0.5710588235294118,0.5646835355679533
90,Extraction,UMAP,0.505074074074074,0.508,0.4916850675247154,0.508,0.43518500697937645
90,Selection,ANOVA F-value,0.76593779677113,0.7245490196078432,0.728991208721814,0.7245490196078432,0.7217270030359433
90,Selection,Chi-Squared,0.733616809116809,0.6692549019607844,0.6692514069781458,0.6692549019607844,0.6679383814152906
90,Selection,Mutual Information,0.7369112060778727,0.7090196078431372,0.7119826982686482,0.7090196078431372,0.7073287323080925
100,Extraction,Kernel PCA,0.5512207977207977,0.5436078431372549,0.5439584063726282,0.5436078431372549,0.5334861322170987
100,Extraction,PCA,0.5675280151946819,0.5511372549019609,0.5561023346980184,0.5511372549019609,0.5425811870054469
100,Extraction,UMAP,0.535965811965812,0.52,0.5176599374833184,0.52,0.49533576769266086
100,Selection,ANOVA F-value,0.750693257359924,0.7129411764705882,0.7152763315116256,0.7129411764705882,0.7094858544863715
